id,file,line,event,label,flow,handler,isCancelCta,isNoop,blocker
148,apps/empire_flutter/app/lib/modules/provisioning/provisioning_page.dart,78,onPressed,,callback/action,() => _showCreateDialog(context),False,False,none
149,apps/empire_flutter/app/lib/modules/provisioning/provisioning_page.dart,166,onPressed,,callback/action,() => _showLearnerOptions(context,False,False,none
150,apps/empire_flutter/app/lib/modules/provisioning/provisioning_page.dart,186,onTap,Edit Learner,callback/action,() {,False,False,none
151,apps/empire_flutter/app/lib/modules/provisioning/provisioning_page.dart,197,onTap,Manage Guardian Links,callback/action,() {,False,False,none
152,apps/empire_flutter/app/lib/modules/provisioning/provisioning_page.dart,260,onPressed,,callback/action,() => _showParentOptions(context,False,False,none
153,apps/empire_flutter/app/lib/modules/provisioning/provisioning_page.dart,280,onTap,Edit Parent,callback/action,() {,False,False,none
154,apps/empire_flutter/app/lib/modules/provisioning/provisioning_page.dart,291,onTap,Manage Learner Links,callback/action,() {,False,False,none
155,apps/empire_flutter/app/lib/modules/provisioning/provisioning_page.dart,369,onPressed,,callback/action,() => _confirmDelete(context,False,False,none
156,apps/empire_flutter/app/lib/modules/provisioning/provisioning_page.dart,390,onPressed,Cancel,cancel/close,() => Navigator.pop(context),True,False,none
157,apps/empire_flutter/app/lib/modules/provisioning/provisioning_page.dart,394,onPressed,Cancel,callback/action,() async {,True,False,none
158,apps/empire_flutter/app/lib/modules/provisioning/provisioning_page.dart,524,onPressed,Cancel,cancel/close,_isSubmitting ? null : () => Navigator.pop(context),True,False,none
159,apps/empire_flutter/app/lib/modules/provisioning/provisioning_page.dart,528,onPressed,Cancel,callback/action,_isSubmitting ? null : _submit,True,False,none
160,apps/empire_flutter/app/lib/modules/provisioning/provisioning_page.dart,648,onPressed,Cancel,cancel/close,_isSubmitting ? null : () => Navigator.pop(context),True,False,none
161,apps/empire_flutter/app/lib/modules/provisioning/provisioning_page.dart,652,onPressed,Cancel,callback/action,_isSubmitting ? null : _submit,True,False,none
162,apps/empire_flutter/app/lib/modules/provisioning/provisioning_page.dart,799,onPressed,Cancel,cancel/close,_isSubmitting ? null : () => Navigator.pop(context),True,False,none
163,apps/empire_flutter/app/lib/modules/provisioning/provisioning_page.dart,803,onPressed,Cancel,callback/action,_isSubmitting || _selectedParentId == null || _selectedLearnerId == null,True,False,none
164,apps/empire_flutter/app/lib/modules/provisioning/provisioning_page.dart,915,onPressed,Cancel,cancel/close,_isSubmitting ? null : () => Navigator.pop(context),True,False,none
165,apps/empire_flutter/app/lib/modules/provisioning/provisioning_page.dart,919,onPressed,Cancel,callback/action,_isSubmitting ? null : _submit,True,False,none
166,apps/empire_flutter/app/lib/modules/provisioning/provisioning_page.dart,1040,onPressed,Cancel,cancel/close,_isSubmitting ? null : () => Navigator.pop(context),True,False,none
167,apps/empire_flutter/app/lib/modules/provisioning/provisioning_page.dart,1044,onPressed,Cancel,callback/action,_isSubmitting ? null : _submit,True,False,none
168,apps/empire_flutter/app/lib/modules/partner/partner_listings_page.dart,36,onPressed,My Listings,callback/action,() => _showCreateListingDialog(context),False,False,none
169,apps/empire_flutter/app/lib/modules/partner/partner_listings_page.dart,101,onPressed,Create Listing,callback/action,() => _showCreateListingDialog(context),False,False,none
170,apps/empire_flutter/app/lib/modules/partner/partner_listings_page.dart,121,onTap,,callback/action,() => _showListingDetails(listing),False,False,none
171,apps/empire_flutter/app/lib/modules/partner/partner_listings_page.dart,305,onPressed,Cancel,callback/action,isSubmitting,True,False,none
172,apps/empire_flutter/app/lib/modules/partner/partner_listings_page.dart,316,onPressed,Cancel,callback/action,isSubmitting,True,False,none
173,apps/empire_flutter/app/lib/modules/partner/partner_listings_page.dart,426,onPressed,Close,cancel/close,() => Navigator.pop(context),True,False,none
174,apps/empire_flutter/app/lib/modules/partner/partner_listings_page.dart,433,onPressed,Close,callback/action,() {,True,False,none
175,apps/empire_flutter/app/lib/modules/partner/partner_listings_page.dart,475,onPressed,Cancel,cancel/close,() => Navigator.pop(dialogContext),True,False,none
176,apps/empire_flutter/app/lib/modules/partner/partner_listings_page.dart,479,onPressed,Cancel,callback/action,() {,True,False,none
177,apps/empire_flutter/app/lib/modules/partner/partner_contracts_page.dart,104,onTap,,callback/action,() => _showContractDetails(contract),False,False,none
178,apps/empire_flutter/app/lib/modules/partner/partner_contracts_page.dart,316,onPressed,Close,cancel/close,() => Navigator.pop(context),True,False,none
179,apps/empire_flutter/app/lib/modules/educator/educator_learners_page.dart,75,onTap,,callback/action,() => _openLearnerDetail(learners[index]),False,False,none
180,apps/empire_flutter/app/lib/modules/educator/educator_learners_page.dart,150,onPressed,,callback/action,() {,False,False,none
