idx	doc	status	cwd	timeout_s	raw_command	executed_command	log	note
41	docs/75_REPO_FILE_MAP_REQUIRED.md	FAIL(1)	/Users/simonluke/dev/scholesa	300	firebase emulators:exec "npm test"	npx --yes firebase-tools emulators:exec "npm test" --project studio-3328096157-e3f79	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/41_npx-yes-firebase-tools-emulators-exec-npm-test-project-studio-3328096157-e3f79.log	
42	docs/75_REPO_FILE_MAP_REQUIRED.md	FAIL(1)	/Users/simonluke/dev/scholesa	240	gcloud run deploy	gcloud run deploy	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/42_gcloud-run-deploy.log	
43	docs/SCHOLESA_AUDIT_FIX_AND_REMEDIATION_VIBE.md	FAIL(69)	/Users/simonluke/dev/scholesa/apps/empire_flutter/app	240	dart pub outdated	dart pub outdated	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/43_dart-pub-outdated.log	
44	docs/SCHOLESA_AUDIT_FIX_AND_REMEDIATION_VIBE.md	PASS	/Users/simonluke/dev/scholesa/apps/empire_flutter/app	240	dart format . --set-exit-if-changed	dart format . --set-exit-if-changed	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/44_dart-format-set-exit-if-changed.log	
45	docs/SCHOLESA_AUDIT_FIX_AND_REMEDIATION_VIBE.md	PASS	/Users/simonluke/dev/scholesa/apps/empire_flutter/app	240	dart format	dart format .	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/45_dart-format.log	
46	docs/BOS_MIA_REGRESSION_REPORT.md	FAIL(1)	/Users/simonluke/dev/scholesa	1800	npm run rc2:regression	npm run rc2:regression	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/46_npm-run-rc2-regression.log	
47	docs/BOS_MIA_REGRESSION_REPORT.md	PASS	/Users/simonluke/dev/scholesa	240	npm run vibe:all	npm run vibe:all	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/47_npm-run-vibe-all.log	
48	docs/BOS_MIA_REGRESSION_REPORT.md	FAIL(1)	/Users/simonluke/dev/scholesa	240	node scripts/vibe_voice_live_runner.js --strict --base-url=https://voiceapi-gu5vyrn2tq-uc.a.run.app	node scripts/vibe_voice_live_runner.js --strict --base-url=https://voiceapi-gu5vyrn2tq-uc.a.run.app	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/48_node-scripts-vibe-voice-live-runner-js-strict-base-url-https-voiceapi-gu5vyrn2tq.log	
49	docs/74_CODEX_EXECUTION_VIBE_RUN_TO_DONE.md	FAIL(1)	/Users/simonluke/dev/scholesa/apps/empire_flutter/app	180	flutter run -d chrome	flutter run -d chrome	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/49_flutter-run-d-chrome.log	
50	docs/74_CODEX_EXECUTION_VIBE_RUN_TO_DONE.md	FAIL(1)	/Users/simonluke/dev/scholesa	300	firebase emulators:exec	npx --yes firebase-tools emulators:exec --project studio-3328096157-e3f79	/Users/simonluke/dev/scholesa/reports/docs_all_commands_regression_20260223165210_logs/50_npx-yes-firebase-tools-emulators-exec-project-studio-3328096157-e3f79.log	
